league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_LOB,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_SV,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB,F_CS,F_XI,F_LOB,F_PCT
1918,Western League,Omaha,regular,,,,,,,,,,,55,,1742,256,,420,519,,,,,,,,,,,,,75,,,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Joplin,regular,,,,,,,,,,,64,,2194,268,,521,703,,,,,,,,,,,,,66,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,St. Joseph,regular,,,,,,,,,,,55,,1784,193,,422,536,,,,,,,,,,,,,64,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Des Moines,regular,,,,,,,,,,,67,,2085,296,,491,608,,,,,,,,,,,,,114,,,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Sioux City,regular,,,,,,,,,,,51,,1685,171,,362,456,,,,,,,,,,,,,45,,,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Western League,Hutchinson,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,1605,764,76,30,,10,,,,,0.968
1918,Western League,Wichita,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,1733,722,98,47,,2,,,,,0.961
1918,Western League,Joplin,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,1696,820,112,44,,5,,,,,0.957
1918,Western League,Omaha,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,1446,704,108,35,,5,,,,,0.952
1918,Western League,Sioux City,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,1376,703,117,48,,7,,,,,0.947
1918,Western League,St. Joseph,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,1501,750,129,36,,7,,,,,0.946
1918,Western League,Des Moines,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,1625,779,157,39,,13,,,,,0.939
1918,Western League,Oklahoma City,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,1770,890,227,57,,7,,,,,0.921
